Epoch 0: train_loss=0.8008, train_acc=82.0201, val_loss=0.4305, val_acc=86.8239
Epoch 1: train_loss=0.0940, train_acc=98.3339, val_loss=0.3375, val_acc=93.0652
Epoch 2: train_loss=0.0759, train_acc=99.1322, val_loss=0.0875, val_acc=97.6422
Epoch 3: train_loss=0.0797, train_acc=99.2711, val_loss=0.0109, val_acc=99.7226
Epoch 4: train_loss=0.1213, train_acc=97.6397, val_loss=0.4147, val_acc=89.4591
Epoch 5: train_loss=0.0783, train_acc=98.7851, val_loss=0.0305, val_acc=99.1678
Epoch 6: train_loss=0.0300, train_acc=99.8959, val_loss=0.0006, val_acc=100.0000
Epoch 7: train_loss=0.0575, train_acc=99.8612, val_loss=0.0013, val_acc=100.0000
Epoch 8: train_loss=0.0399, train_acc=99.9653, val_loss=0.0019, val_acc=100.0000
Epoch 9: train_loss=0.0309, train_acc=99.8612, val_loss=0.0005, val_acc=100.0000
Epoch 10: train_loss=0.0843, train_acc=98.4380, val_loss=0.6479, val_acc=85.9917
Epoch 11: train_loss=0.1089, train_acc=97.8827, val_loss=0.2112, val_acc=94.8682
Epoch 12: train_loss=0.0610, train_acc=99.6182, val_loss=0.0003, val_acc=100.0000
Epoch 13: train_loss=0.0440, train_acc=99.7917, val_loss=0.0015, val_acc=100.0000
Epoch 14: train_loss=0.0977, train_acc=98.0215, val_loss=0.3335, val_acc=92.0943
Epoch 15: train_loss=0.1109, train_acc=97.9868, val_loss=2.5153, val_acc=62.6907
Epoch 16: train_loss=0.0707, train_acc=99.2017, val_loss=0.0482, val_acc=98.8904
Epoch 17: train_loss=0.0490, train_acc=99.7917, val_loss=0.0003, val_acc=100.0000
Epoch 18: train_loss=0.0380, train_acc=99.8264, val_loss=0.0019, val_acc=100.0000
Epoch 19: train_loss=0.0328, train_acc=99.8612, val_loss=0.0002, val_acc=100.0000
Epoch 20: train_loss=0.0302, train_acc=99.9653, val_loss=0.0002, val_acc=100.0000
Epoch 21: train_loss=0.0276, train_acc=99.9653, val_loss=0.0017, val_acc=99.8613
Epoch 22: train_loss=0.0181, train_acc=99.8959, val_loss=0.0001, val_acc=100.0000
Epoch 23: train_loss=0.0250, train_acc=99.9653, val_loss=0.0001, val_acc=100.0000
Epoch 24: train_loss=0.0160, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 25: train_loss=0.0245, train_acc=99.9653, val_loss=0.0001, val_acc=100.0000
Epoch 26: train_loss=0.0350, train_acc=99.8264, val_loss=0.0000, val_acc=100.0000
Epoch 0: train_loss=0.6564, train_acc=86.3135, val_loss=0.1951, val_acc=93.7029
Epoch 0: train_loss=0.6527, train_acc=85.4305, val_loss=0.2066, val_acc=94.3874
Epoch 1: train_loss=0.0800, train_acc=98.1709, val_loss=0.3025, val_acc=94.3874
Epoch 2: train_loss=0.0764, train_acc=98.0763, val_loss=0.0813, val_acc=96.3723
Epoch 3: train_loss=0.0666, train_acc=98.2971, val_loss=0.1357, val_acc=97.3990
Epoch 4: train_loss=0.0607, train_acc=98.5178, val_loss=0.0351, val_acc=99.3840
Epoch 5: train_loss=0.0209, train_acc=99.7162, val_loss=0.0035, val_acc=100.0000
Epoch 6: train_loss=0.0173, train_acc=99.5270, val_loss=0.0008, val_acc=100.0000
Epoch 7: train_loss=0.0410, train_acc=99.2747, val_loss=0.0406, val_acc=99.0418
Epoch 8: train_loss=0.0314, train_acc=99.3377, val_loss=0.0144, val_acc=99.4524
Epoch 9: train_loss=0.0451, train_acc=98.8016, val_loss=0.0554, val_acc=98.8364
Epoch 10: train_loss=0.0260, train_acc=99.4008, val_loss=0.0018, val_acc=99.9316
Epoch 11: train_loss=0.0321, train_acc=99.3062, val_loss=0.0761, val_acc=98.2888
Epoch 12: train_loss=0.0339, train_acc=99.3377, val_loss=0.0143, val_acc=99.5893
Epoch 13: train_loss=0.0092, train_acc=99.8423, val_loss=0.0002, val_acc=100.0000
Epoch 14: train_loss=0.0029, train_acc=99.9369, val_loss=0.0001, val_acc=100.0000
Epoch 15: train_loss=0.0013, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 16: train_loss=0.0064, train_acc=99.9685, val_loss=0.0001, val_acc=100.0000
Epoch 17: train_loss=0.0016, train_acc=99.9369, val_loss=0.0001, val_acc=100.0000
Epoch 18: train_loss=0.0021, train_acc=99.9685, val_loss=0.0001, val_acc=100.0000
Epoch 19: train_loss=0.0023, train_acc=99.9685, val_loss=0.0001, val_acc=100.0000
Epoch 20: train_loss=0.0015, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 21: train_loss=0.0023, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 22: train_loss=0.0010, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 23: train_loss=0.0008, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 24: train_loss=0.0018, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 25: train_loss=0.0021, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 26: train_loss=0.0012, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 27: train_loss=0.0033, train_acc=99.9685, val_loss=0.0000, val_acc=100.0000
Epoch 28: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 29: train_loss=0.0006, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 30: train_loss=0.0024, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 31: train_loss=0.0011, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 32: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 33: train_loss=0.0004, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 34: train_loss=0.0077, train_acc=99.9685, val_loss=0.0000, val_acc=100.0000
Epoch 35: train_loss=0.0010, train_acc=100.0000, val_loss=0.0001, val_acc=100.0000
Epoch 36: train_loss=0.0020, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 37: train_loss=0.0011, train_acc=99.9685, val_loss=0.0000, val_acc=100.0000
Epoch 38: train_loss=0.0008, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 39: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 40: train_loss=0.0004, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 41: train_loss=0.0021, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 42: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 43: train_loss=0.0008, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 44: train_loss=0.0009, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 45: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 46: train_loss=0.0013, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 47: train_loss=0.0007, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 48: train_loss=0.0018, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 49: train_loss=0.0003, train_acc=100.0000, val_loss=0.0000, val_acc=100.0000
Epoch 0: train_loss=0.1713, train_acc=85.8404, val_loss=0.0855, val_acc=95.0034
Epoch 1: train_loss=0.0512, train_acc=99.3062, val_loss=0.0430, val_acc=100.0000
Epoch 2: train_loss=0.0479, train_acc=99.2431, val_loss=0.0422, val_acc=99.7947
Epoch 3: train_loss=0.0487, train_acc=99.1801, val_loss=0.0440, val_acc=99.5209
Epoch 4: train_loss=0.0488, train_acc=99.0855, val_loss=0.0435, val_acc=99.7262
Epoch 5: train_loss=0.0469, train_acc=99.0224, val_loss=0.0597, val_acc=98.2888
Epoch 6: train_loss=0.0432, train_acc=99.7162, val_loss=0.0409, val_acc=100.0000
Epoch 7: train_loss=0.0479, train_acc=99.2431, val_loss=0.0401, val_acc=100.0000
Epoch 8: train_loss=0.0505, train_acc=98.9278, val_loss=0.0536, val_acc=99.6578
Epoch 9: train_loss=0.0406, train_acc=99.8739, val_loss=0.0558, val_acc=98.3573
Epoch 10: train_loss=0.0397, train_acc=99.9369, val_loss=0.0382, val_acc=100.0000
Epoch 11: train_loss=0.0506, train_acc=98.8332, val_loss=0.0453, val_acc=99.2471
Epoch 12: train_loss=0.0484, train_acc=99.2747, val_loss=0.0544, val_acc=98.7680
Epoch 13: train_loss=0.0409, train_acc=99.9054, val_loss=0.0393, val_acc=99.7262
Epoch 14: train_loss=0.0437, train_acc=99.5585, val_loss=0.0396, val_acc=100.0000
Epoch 15: train_loss=0.0453, train_acc=99.4008, val_loss=0.0443, val_acc=99.4524
Epoch 16: train_loss=0.0403, train_acc=99.8739, val_loss=0.0377, val_acc=100.0000
Epoch 17: train_loss=0.0425, train_acc=99.6531, val_loss=0.0384, val_acc=100.0000
Epoch 18: train_loss=0.0395, train_acc=99.7792, val_loss=0.0445, val_acc=99.0418
Epoch 19: train_loss=0.0383, train_acc=99.9054, val_loss=0.0366, val_acc=100.0000
Epoch 20: train_loss=0.0373, train_acc=100.0000, val_loss=0.0364, val_acc=100.0000
Epoch 21: train_loss=0.0381, train_acc=99.9054, val_loss=0.0395, val_acc=99.4524
Epoch 22: train_loss=0.0376, train_acc=100.0000, val_loss=0.0365, val_acc=100.0000
Epoch 23: train_loss=0.0375, train_acc=99.9685, val_loss=0.0362, val_acc=100.0000
Epoch 24: train_loss=0.0378, train_acc=99.9369, val_loss=0.0373, val_acc=100.0000
Epoch 25: train_loss=0.0395, train_acc=99.9685, val_loss=0.0366, val_acc=100.0000
Epoch 26: train_loss=0.0461, train_acc=99.6846, val_loss=0.0386, val_acc=99.7947
Epoch 27: train_loss=0.0548, train_acc=98.2655, val_loss=0.0614, val_acc=97.7413
Epoch 28: train_loss=0.0430, train_acc=99.7162, val_loss=0.0387, val_acc=100.0000
Epoch 29: train_loss=0.0448, train_acc=99.4954, val_loss=0.0426, val_acc=100.0000
Epoch 30: train_loss=0.0386, train_acc=99.9054, val_loss=0.0372, val_acc=100.0000
Epoch 31: train_loss=0.0379, train_acc=99.9369, val_loss=0.0366, val_acc=100.0000
Epoch 32: train_loss=0.0374, train_acc=100.0000, val_loss=0.0363, val_acc=100.0000
Epoch 33: train_loss=0.0372, train_acc=100.0000, val_loss=0.0362, val_acc=100.0000
Epoch 34: train_loss=0.0372, train_acc=99.9685, val_loss=0.0361, val_acc=100.0000
Epoch 35: train_loss=0.0369, train_acc=100.0000, val_loss=0.0360, val_acc=100.0000
Epoch 36: train_loss=0.0376, train_acc=100.0000, val_loss=0.0360, val_acc=100.0000
Epoch 37: train_loss=0.0370, train_acc=100.0000, val_loss=0.0359, val_acc=100.0000
Epoch 38: train_loss=0.0370, train_acc=100.0000, val_loss=0.0358, val_acc=100.0000
Epoch 39: train_loss=0.0370, train_acc=100.0000, val_loss=0.0359, val_acc=100.0000
Epoch 40: train_loss=0.0369, train_acc=100.0000, val_loss=0.0358, val_acc=100.0000
Epoch 41: train_loss=0.0367, train_acc=100.0000, val_loss=0.0358, val_acc=100.0000
Epoch 42: train_loss=0.0368, train_acc=99.9685, val_loss=0.0358, val_acc=100.0000
Epoch 43: train_loss=0.0369, train_acc=100.0000, val_loss=0.0358, val_acc=100.0000
Epoch 44: train_loss=0.0367, train_acc=100.0000, val_loss=0.0357, val_acc=100.0000
Epoch 45: train_loss=0.0388, train_acc=99.9685, val_loss=0.0357, val_acc=100.0000
Epoch 46: train_loss=0.0366, train_acc=100.0000, val_loss=0.0358, val_acc=100.0000
Epoch 47: train_loss=0.0368, train_acc=100.0000, val_loss=0.0357, val_acc=100.0000
Epoch 48: train_loss=0.0366, train_acc=100.0000, val_loss=0.0357, val_acc=100.0000
Epoch 49: train_loss=0.0383, train_acc=99.9685, val_loss=0.0357, val_acc=100.0000
